V1	V2
JUNB	CCR10
JUNB	BTK
JUNB	BRAF
JUNB	BATF
JUNB	IL1B
JUNB	CD82
KDR	SHC2
KDR	JAK1
KDR	PRKAA1
MYC	CCND1
MYC	BCL2
MYC	CDK4
MYC	CDKN1A
MYC	JUNB
MYC	VEGFA
MYC	WNT10A
MYC	THBD
MYC	TAP2
MYC	SOCS5
MYC	ITGB1
MYC	CD320
MYC	ALDOA
MYC	BAG1
MYC	CALM3
MYC	HSPA4
MYC	PSME3
MYC	WNT2B
MYC	WNT10B
MYC	TGFB1
MYC	RTN4RL1
MYC	PROCR
MYC	NPTN
MYC	LY6K
MYC	ISG20
MYC	EMP3
MYC	CXCR5
MYC	COTL1
MYC	CHEK2
MYC	CD164
MYC	ADIPOR1
MYC	FASLG
MYC	LDHA
MYC	CCND2
MYC	TNFRSF8
MYC	TFRC
MYC	SPAG9
MYC	RECQL5
MYC	ITGA6
MYC	ICAM1
MYC	HLA-DPB1
MYC	ENC1
MYC	CD86
MYC	CD63
MYC	CD55
MYC	CD44
MYC	CD2AP
MYC	AIRE
MYC	ACE
MYC	IRAK1
MYC	NACA
MYC	BIRC5
MYC	BSG
MYC	C1QBP
MYC	C4A
MYC	C4B
MYC	PROM1
MYC	DCK
MYC	ENG
MYC	IFNGR1
MYC	MPO
MYC	ODC1
MYC	PTEN
MYC	SIGIRR
MYC	SLC7A5
MYC	ST6GAL1
MYC	TYMP
MYC	TRAF7
MYC	SEMA7A
MYC	CCL20
MYC	UNG
MYC	TYK2
MYC	TPT1
MYC	SMC3
MYC	SDF2
MYC	SDC1
MYC	SCARB1
MYC	RNF213
MYC	RAD54L
MYC	PPIA
MYC	PITPNM3
MYC	MUC1
MYC	MTOR
MYC	MCL1
MYC	MAP2K1
MYC	LTBR
MYC	JMJD6
MYC	IL11RA
MYC	ICAM2
MYC	HMMR
MYC	GAPDH
MYC	DUSP1
MYC	DKC1
MYC	CYBA
MYC	CRADD
MYC	CEACAM5
MYC	CDK1
MYC	CD79B
MYC	CD33
MYC	CCRL2
MYC	CANX
MYC	C2
MYC	CD38
MYC	CDCA7
MYC	CXCR4
MYC	DKK1
MYC	FUT3
MYC	HLA-A
MYC	MTDH
MYC	UBE2D3
MYC	TBK1
MYC	PTGES2
MYC	PMS2
MYC	PCBP1
MYC	LY86
MYC	LAMP1
MYC	IL15RA
MYC	FGF9
MYC	FGF8
MYC	FAM3C
MYC	CCNE2
MYC	ZNF263
MYC	ZFP36L2
MYC	XRCC2
MYC	WNT3
MYC	UCHL5
MYC	UBA52
MYC	TREX1
MYC	TMEM74B
MYC	TGFB3
MYC	TCF12
MYC	SPARC
MYC	SIVA1
MYC	SELPLG
MYC	RNF19A
MYC	RNF187
MYC	RFC4
MYC	RABAC1
MYC	RAB27A
MYC	PSMB8
MYC	PSMB7
MYC	PSMB5
MYC	PSMB10
MYC	PSMA7
MYC	PPP1R14B
MYC	PNP
MYC	PALB2
MYC	OXCT1
MYC	NOTCH1
MYC	NLRP2
MYC	MSH2
MYC	MIR155HG
MYC	MAP2K7
MYC	LY6E
MYC	LPCAT1
MYC	LGALS1
MYC	LAIR2
MYC	LAIR1
